id	category	recipe	ingredient	step
how-to-make-halal-vanilla-extract:vanilla:0	cupcakes	how-to-make-halal-vanilla-extract	vanilla	0
how-to-make-halal-vanilla-extract:base:0	cupcakes	how-to-make-halal-vanilla-extract	base	0
how-to-make-halal-vanilla-extract:alcohol:0	cupcakes	how-to-make-halal-vanilla-extract	alcohol	0
how-to-make-halal-vanilla-extract:vanilla_beans:0	cupcakes	how-to-make-halal-vanilla-extract	vanilla_beans	0
how-to-make-halal-vanilla-extract:vanilla:1	cupcakes	how-to-make-halal-vanilla-extract	vanilla	1
how-to-make-halal-vanilla-extract:base:1	cupcakes	how-to-make-halal-vanilla-extract	base	1
how-to-make-halal-vanilla-extract:alcohol:1	cupcakes	how-to-make-halal-vanilla-extract	alcohol	1
how-to-make-halal-vanilla-extract:vanilla_beans:1	cupcakes	how-to-make-halal-vanilla-extract	vanilla_beans	1
how-to-make-halal-vanilla-extract:vanilla:2	cupcakes	how-to-make-halal-vanilla-extract	vanilla	2
how-to-make-halal-vanilla-extract:base:2	cupcakes	how-to-make-halal-vanilla-extract	base	2
how-to-make-halal-vanilla-extract:alcohol:2	cupcakes	how-to-make-halal-vanilla-extract	alcohol	2
how-to-make-halal-vanilla-extract:vanilla_beans:2	cupcakes	how-to-make-halal-vanilla-extract	vanilla_beans	2
how-to-make-halal-vanilla-extract:vanilla:3	cupcakes	how-to-make-halal-vanilla-extract	vanilla	3
how-to-make-halal-vanilla-extract:base:3	cupcakes	how-to-make-halal-vanilla-extract	base	3
how-to-make-halal-vanilla-extract:alcohol:3	cupcakes	how-to-make-halal-vanilla-extract	alcohol	3
how-to-make-halal-vanilla-extract:vanilla_beans:3	cupcakes	how-to-make-halal-vanilla-extract	vanilla_beans	3
zombie-poop:salt:0	dessert	zombie-poop	salt	0
zombie-poop:eggs:0	dessert	zombie-poop	eggs	0
zombie-poop:cream:0	dessert	zombie-poop	cream	0
zombie-poop:powdered_sugar:0	dessert	zombie-poop	powdered_sugar	0
zombie-poop:dark_chocolate:0	dessert	zombie-poop	dark_chocolate	0
zombie-poop:salt:1	dessert	zombie-poop	salt	1
zombie-poop:eggs:1	dessert	zombie-poop	eggs	1
zombie-poop:cream:1	dessert	zombie-poop	cream	1
zombie-poop:powdered_sugar:1	dessert	zombie-poop	powdered_sugar	1
zombie-poop:dark_chocolate:1	dessert	zombie-poop	dark_chocolate	1
zombie-poop:salt:2	dessert	zombie-poop	salt	2
zombie-poop:eggs:2	dessert	zombie-poop	eggs	2
zombie-poop:cream:2	dessert	zombie-poop	cream	2
zombie-poop:powdered_sugar:2	dessert	zombie-poop	powdered_sugar	2
zombie-poop:dark_chocolate:2	dessert	zombie-poop	dark_chocolate	2
zombie-poop:salt:3	dessert	zombie-poop	salt	3
zombie-poop:eggs:3	dessert	zombie-poop	eggs	3
zombie-poop:cream:3	dessert	zombie-poop	cream	3
zombie-poop:powdered_sugar:3	dessert	zombie-poop	powdered_sugar	3
zombie-poop:dark_chocolate:3	dessert	zombie-poop	dark_chocolate	3
zombie-poop:salt:4	dessert	zombie-poop	salt	4
zombie-poop:eggs:4	dessert	zombie-poop	eggs	4
zombie-poop:cream:4	dessert	zombie-poop	cream	4
zombie-poop:powdered_sugar:4	dessert	zombie-poop	powdered_sugar	4
zombie-poop:dark_chocolate:4	dessert	zombie-poop	dark_chocolate	4
zombie-poop:salt:5	dessert	zombie-poop	salt	5
zombie-poop:eggs:5	dessert	zombie-poop	eggs	5
zombie-poop:cream:5	dessert	zombie-poop	cream	5
zombie-poop:powdered_sugar:5	dessert	zombie-poop	powdered_sugar	5
zombie-poop:dark_chocolate:5	dessert	zombie-poop	dark_chocolate	5
zombie-poop:salt:6	dessert	zombie-poop	salt	6
zombie-poop:eggs:6	dessert	zombie-poop	eggs	6
zombie-poop:cream:6	dessert	zombie-poop	cream	6
zombie-poop:powdered_sugar:6	dessert	zombie-poop	powdered_sugar	6
zombie-poop:dark_chocolate:6	dessert	zombie-poop	dark_chocolate	6
zombie-poop:salt:7	dessert	zombie-poop	salt	7
zombie-poop:eggs:7	dessert	zombie-poop	eggs	7
zombie-poop:cream:7	dessert	zombie-poop	cream	7
zombie-poop:powdered_sugar:7	dessert	zombie-poop	powdered_sugar	7
zombie-poop:dark_chocolate:7	dessert	zombie-poop	dark_chocolate	7
zombie-poop:salt:8	dessert	zombie-poop	salt	8
zombie-poop:eggs:8	dessert	zombie-poop	eggs	8
zombie-poop:cream:8	dessert	zombie-poop	cream	8
zombie-poop:powdered_sugar:8	dessert	zombie-poop	powdered_sugar	8
zombie-poop:dark_chocolate:8	dessert	zombie-poop	dark_chocolate	8
zombie-poop:salt:9	dessert	zombie-poop	salt	9
zombie-poop:eggs:9	dessert	zombie-poop	eggs	9
zombie-poop:cream:9	dessert	zombie-poop	cream	9
zombie-poop:powdered_sugar:9	dessert	zombie-poop	powdered_sugar	9
zombie-poop:dark_chocolate:9	dessert	zombie-poop	dark_chocolate	9
zombie-poop:salt:10	dessert	zombie-poop	salt	10
zombie-poop:eggs:10	dessert	zombie-poop	eggs	10
zombie-poop:cream:10	dessert	zombie-poop	cream	10
zombie-poop:powdered_sugar:10	dessert	zombie-poop	powdered_sugar	10
zombie-poop:dark_chocolate:10	dessert	zombie-poop	dark_chocolate	10
zombie-poop:salt:11	dessert	zombie-poop	salt	11
zombie-poop:eggs:11	dessert	zombie-poop	eggs	11
zombie-poop:cream:11	dessert	zombie-poop	cream	11
zombie-poop:powdered_sugar:11	dessert	zombie-poop	powdered_sugar	11
zombie-poop:dark_chocolate:11	dessert	zombie-poop	dark_chocolate	11
how-to-make-cold-borscht:sugar:0	soups-and-stews	how-to-make-cold-borscht	sugar	0
how-to-make-cold-borscht:juice:0	soups-and-stews	how-to-make-cold-borscht	juice	0
how-to-make-cold-borscht:lemon_juice:0	soups-and-stews	how-to-make-cold-borscht	lemon_juice	0
how-to-make-cold-borscht:salt_and_pepper:0	soups-and-stews	how-to-make-cold-borscht	salt_and_pepper	0
how-to-make-cold-borscht:sour_cream:0	soups-and-stews	how-to-make-cold-borscht	sour_cream	0
how-to-make-cold-borscht:beets:0	soups-and-stews	how-to-make-cold-borscht	beets	0
how-to-make-cold-borscht:beet_juice:0	soups-and-stews	how-to-make-cold-borscht	beet_juice	0
how-to-make-cold-borscht:sugar:1	soups-and-stews	how-to-make-cold-borscht	sugar	1
how-to-make-cold-borscht:juice:1	soups-and-stews	how-to-make-cold-borscht	juice	1
how-to-make-cold-borscht:lemon_juice:1	soups-and-stews	how-to-make-cold-borscht	lemon_juice	1
how-to-make-cold-borscht:salt_and_pepper:1	soups-and-stews	how-to-make-cold-borscht	salt_and_pepper	1
how-to-make-cold-borscht:sour_cream:1	soups-and-stews	how-to-make-cold-borscht	sour_cream	1
how-to-make-cold-borscht:beets:1	soups-and-stews	how-to-make-cold-borscht	beets	1
how-to-make-cold-borscht:beet_juice:1	soups-and-stews	how-to-make-cold-borscht	beet_juice	1
how-to-make-cold-borscht:sugar:2	soups-and-stews	how-to-make-cold-borscht	sugar	2
how-to-make-cold-borscht:juice:2	soups-and-stews	how-to-make-cold-borscht	juice	2
how-to-make-cold-borscht:lemon_juice:2	soups-and-stews	how-to-make-cold-borscht	lemon_juice	2
how-to-make-cold-borscht:salt_and_pepper:2	soups-and-stews	how-to-make-cold-borscht	salt_and_pepper	2
how-to-make-cold-borscht:sour_cream:2	soups-and-stews	how-to-make-cold-borscht	sour_cream	2
how-to-make-cold-borscht:beets:2	soups-and-stews	how-to-make-cold-borscht	beets	2
how-to-make-cold-borscht:beet_juice:2	soups-and-stews	how-to-make-cold-borscht	beet_juice	2
how-to-make-cold-borscht:sugar:3	soups-and-stews	how-to-make-cold-borscht	sugar	3
how-to-make-cold-borscht:juice:3	soups-and-stews	how-to-make-cold-borscht	juice	3
how-to-make-cold-borscht:lemon_juice:3	soups-and-stews	how-to-make-cold-borscht	lemon_juice	3
how-to-make-cold-borscht:salt_and_pepper:3	soups-and-stews	how-to-make-cold-borscht	salt_and_pepper	3
how-to-make-cold-borscht:sour_cream:3	soups-and-stews	how-to-make-cold-borscht	sour_cream	3
how-to-make-cold-borscht:beets:3	soups-and-stews	how-to-make-cold-borscht	beets	3
how-to-make-cold-borscht:beet_juice:3	soups-and-stews	how-to-make-cold-borscht	beet_juice	3
how-to-make-cold-borscht:sugar:4	soups-and-stews	how-to-make-cold-borscht	sugar	4
how-to-make-cold-borscht:juice:4	soups-and-stews	how-to-make-cold-borscht	juice	4
how-to-make-cold-borscht:lemon_juice:4	soups-and-stews	how-to-make-cold-borscht	lemon_juice	4
how-to-make-cold-borscht:salt_and_pepper:4	soups-and-stews	how-to-make-cold-borscht	salt_and_pepper	4
how-to-make-cold-borscht:sour_cream:4	soups-and-stews	how-to-make-cold-borscht	sour_cream	4
how-to-make-cold-borscht:beets:4	soups-and-stews	how-to-make-cold-borscht	beets	4
how-to-make-cold-borscht:beet_juice:4	soups-and-stews	how-to-make-cold-borscht	beet_juice	4
how-to-make-cold-borscht:sugar:5	soups-and-stews	how-to-make-cold-borscht	sugar	5
how-to-make-cold-borscht:juice:5	soups-and-stews	how-to-make-cold-borscht	juice	5
how-to-make-cold-borscht:lemon_juice:5	soups-and-stews	how-to-make-cold-borscht	lemon_juice	5
how-to-make-cold-borscht:salt_and_pepper:5	soups-and-stews	how-to-make-cold-borscht	salt_and_pepper	5
how-to-make-cold-borscht:sour_cream:5	soups-and-stews	how-to-make-cold-borscht	sour_cream	5
how-to-make-cold-borscht:beets:5	soups-and-stews	how-to-make-cold-borscht	beets	5
how-to-make-cold-borscht:beet_juice:5	soups-and-stews	how-to-make-cold-borscht	beet_juice	5
how-to-make-cold-borscht:sugar:6	soups-and-stews	how-to-make-cold-borscht	sugar	6
how-to-make-cold-borscht:juice:6	soups-and-stews	how-to-make-cold-borscht	juice	6
how-to-make-cold-borscht:lemon_juice:6	soups-and-stews	how-to-make-cold-borscht	lemon_juice	6
how-to-make-cold-borscht:salt_and_pepper:6	soups-and-stews	how-to-make-cold-borscht	salt_and_pepper	6
how-to-make-cold-borscht:sour_cream:6	soups-and-stews	how-to-make-cold-borscht	sour_cream	6
how-to-make-cold-borscht:beets:6	soups-and-stews	how-to-make-cold-borscht	beets	6
how-to-make-cold-borscht:beet_juice:6	soups-and-stews	how-to-make-cold-borscht	beet_juice	6
yummy-cake-p:butter:0	cake	yummy-cake-p	butter	0
yummy-cake-p:frosting:0	cake	yummy-cake-p	frosting	0
yummy-cake-p:powdered_sugar:0	cake	yummy-cake-p	powdered_sugar	0
yummy-cake-p:butter:1	cake	yummy-cake-p	butter	1
yummy-cake-p:frosting:1	cake	yummy-cake-p	frosting	1
yummy-cake-p:powdered_sugar:1	cake	yummy-cake-p	powdered_sugar	1
yummy-cake-p:butter:2	cake	yummy-cake-p	butter	2
yummy-cake-p:frosting:2	cake	yummy-cake-p	frosting	2
yummy-cake-p:powdered_sugar:2	cake	yummy-cake-p	powdered_sugar	2
yummy-cake-p:butter:3	cake	yummy-cake-p	butter	3
yummy-cake-p:frosting:3	cake	yummy-cake-p	frosting	3
yummy-cake-p:powdered_sugar:3	cake	yummy-cake-p	powdered_sugar	3
yummy-cake-p:butter:4	cake	yummy-cake-p	butter	4
yummy-cake-p:frosting:4	cake	yummy-cake-p	frosting	4
yummy-cake-p:powdered_sugar:4	cake	yummy-cake-p	powdered_sugar	4
yummy-cake-p:butter:5	cake	yummy-cake-p	butter	5
yummy-cake-p:frosting:5	cake	yummy-cake-p	frosting	5
yummy-cake-p:powdered_sugar:5	cake	yummy-cake-p	powdered_sugar	5
easy-handmade-pumpkin-puree:sugar:0	dessert	easy-handmade-pumpkin-puree	sugar	0
easy-handmade-pumpkin-puree:salt:0	dessert	easy-handmade-pumpkin-puree	salt	0
easy-handmade-pumpkin-puree:oil:0	dessert	easy-handmade-pumpkin-puree	oil	0
easy-handmade-pumpkin-puree:olive_oil:0	dessert	easy-handmade-pumpkin-puree	olive_oil	0
easy-handmade-pumpkin-puree:cinnamon:0	dessert	easy-handmade-pumpkin-puree	cinnamon	0
easy-handmade-pumpkin-puree:seeds:0	dessert	easy-handmade-pumpkin-puree	seeds	0
easy-handmade-pumpkin-puree:orange:0	dessert	easy-handmade-pumpkin-puree	orange	0
easy-handmade-pumpkin-puree:pumpkin:0	dessert	easy-handmade-pumpkin-puree	pumpkin	0
easy-handmade-pumpkin-puree:pumpkin_seeds:0	dessert	easy-handmade-pumpkin-puree	pumpkin_seeds	0
easy-handmade-pumpkin-puree:sugar:1	dessert	easy-handmade-pumpkin-puree	sugar	1
easy-handmade-pumpkin-puree:salt:1	dessert	easy-handmade-pumpkin-puree	salt	1
easy-handmade-pumpkin-puree:oil:1	dessert	easy-handmade-pumpkin-puree	oil	1
easy-handmade-pumpkin-puree:olive_oil:1	dessert	easy-handmade-pumpkin-puree	olive_oil	1
easy-handmade-pumpkin-puree:cinnamon:1	dessert	easy-handmade-pumpkin-puree	cinnamon	1
easy-handmade-pumpkin-puree:seeds:1	dessert	easy-handmade-pumpkin-puree	seeds	1
easy-handmade-pumpkin-puree:orange:1	dessert	easy-handmade-pumpkin-puree	orange	1
